REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	mapped_sorted.bam
41_NA_peak_25858_lociStitched	GL000199.1	31555	168315	41	82	233586.08
20_NA_peak_25937_lociStitched	GL000225.1	6871	133794	20	40	43103.0508
9_NA_peak_12197_lociStitched	19	1848605	1905582	9	18	35394.1124
19_NA_peak_14392_lociStitched	2	92269501	92325134	19	38	205085.4912
11_NA_peak_10448_lociStitched	17	8042587	8093403	11	22	30677.6192
7_NA_peak_12549_lociStitched	19	13044398	13094244	7	14	18074.1596
20_NA_peak_9761_lociStitched	16	46386925	46435398	20	40	101041.9685
6_NA_peak_23893_lociStitched	8	86769043	86817039	6	12	22265.3444
16_NA_peak_26495_lociStitched	X	61683325	61731203	16	32	88497.6952
10_NA_peak_14208_lociStitched	2	70305185	70352190	10	20	39888.443
10_NA_peak_1913_lociStitched	1	153917351	153963413	10	20	24896.511
11_NA_peak_4854_lociStitched	11	67158959	67204971	11	22	23502.9296
8_NA_peak_21167_lociStitched	6	26172535	26217276	8	16	22057.313
8_NA_peak_15383_lociStitched	2	232507924	232552327	8	16	27605.3451
5_NA_peak_17573_lociStitched	3	46994489	47038481	5	10	25832.1024
6_NA_peak_6116_lociStitched	12	54779661	54822980	6	12	37275.9995
6_NA_peak_20874_lociStitched	6	2841849	2884344	6	12	14983.737
8_NA_peak_11417_lociStitched	17	73828609	73869321	8	16	23828.7336
10_NA_peak_13137_lociStitched	19	45943049	45982063	10	20	26662.1676
7_NA_peak_21342_lociStitched	6	31763626	31802525	7	14	24794.2226
8_NA_peak_17672_lociStitched	3	50359055	50396777	8	16	20173.7256
7_NA_peak_21120_lociStitched	6	25025623	25062908	7	14	27866.809
8_NA_peak_26000_lociStitched	X	1654846	1690998	8	16	32648.8712
7_NA_peak_4794_lociStitched	11	65661171	65696141	7	14	13215.163
5_NA_peak_9675_lociStitched	16	30406344	30441249	5	10	10499.424
8_NA_peak_25902_lociStitched	GL000220.1	93932	128627	8	16	106190.9865
9_NA_peak_17073_lociStitched	22	46432205	46466800	9	18	40815.181
7_NA_peak_13001_lociStitched	19	40916314	40950882	7	14	21591.1728
5_NA_peak_2578_lociStitched	1	211752309	211786664	5	10	12436.51
9_NA_peak_12168_lociStitched	19	1241937	1276185	9	18	26192.8704
8_NA_peak_447_lociStitched	1	22345261	22379427	8	16	33735.5084
6_NA_peak_5621_lociStitched	12	8828058	8862146	6	12	16696.3024
7_NA_peak_19255_lociStitched	4	82392816	82426209	7	14	22940.991
6_NA_peak_12613_lociStitched	19	14607142	14640508	6	12	16462.7844
6_NA_peak_9724_lociStitched	16	31119866	31152994	6	12	24965.2608
7_NA_peak_24722_lociStitched	8	144623453	144656532	7	14	29241.836
7_NA_peak_15980_lociStitched	20	43588724	43621574	7	14	18478.125
6_NA_peak_23595_lociStitched	8	56744862	56777663	6	12	45209.6183
7_NA_peak_2098_lociStitched	1	161123935	161156399	7	14	21838.5328
8_NA_peak_4645_lociStitched	11	62413919	62446371	8	16	13480.5608
5_NA_peak_16228_lociStitched	20	62580302	62612639	5	10	9296.8875
7_NA_peak_26877_lociStitched	Y	13453331	13485615	7	14	9062.1188
5_NA_peak_20814_lociStitched	5	180587369	180619016	5	10	7892.7618
5_NA_peak_1763_lociStitched	1	147994009	148025632	5	10	15520.5684
8_NA_peak_25887_lociStitched	GL000216.1	138160	169528	8	16	14143.8312
6_NA_peak_12540_lociStitched	19	12886203	12917533	6	12	19045.507
7_NA_peak_10414_lociStitched	17	7455991	7487277	7	14	21612.3688
10_NA_peak_12283_lociStitched	19	4059050	4090282	10	20	17468.0576
4_NA_peak_18552_lociStitched	3	182952045	182983248	4	8	9716.6142
5_NA_peak_25701_lociStitched	9	135978479	136009651	5	10	20093.4712
11_NA_peak_21219_lociStitched	6	27775498	27806651	11	22	28430.2278
6_NA_peak_13468_lociStitched	19	56135849	56166607	6	12	19211.4468
6_NA_peak_21197_lociStitched	6	27094632	27125229	6	12	13692.1575
5_NA_peak_4642_lociStitched	11	62358855	62389436	5	10	15736.9826
5_NA_peak_10341_lociStitched	17	4870985	4901409	5	10	9346.2528
