#NA_summits Enhancers
#Created from /Users/jeremie/Documents/Projects/BroadInstitute/superenhancers/NA_summits_12KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by mapped_sorted.bam
#Using cutoff of 9718.6812 for Super-Enhancers
#Created on avr 01 2019 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	mapped_sorted.bam	enhancerRank	isSuper
41_NA_peak_25858_lociStitched	GL000199.1	31555	168315	41	82	233586.08	1	1
19_NA_peak_14392_lociStitched	2	92269501	92325134	19	38	205085.4912	2	1
2_NA_peak_1658_lociStitched	1	121478934	121485208	2	4	185608.7612	3	1
14_NA_peak_3311_lociStitched	10	42384507	42409255	14	28	138791.7336	4	1
12_NA_peak_25943_lociStitched	GL000226.1	1133	14401	12	24	126879.2304	5	1
8_NA_peak_25902_lociStitched	GL000220.1	93932	128627	8	16	106190.9865	6	1
9_NA_peak_3316_lociStitched	10	42528058	42546082	9	18	105225.9144	7	1
20_NA_peak_9761_lociStitched	16	46386925	46435398	20	40	101041.9685	8	1
12_NA_peak_4538_lociStitched	11	51570115	51591172	12	24	90820.9467	9	1
16_NA_peak_26495_lociStitched	X	61683325	61731203	16	32	88497.6952	10	1
8_NA_peak_23502_lociStitched	8	46839177	46855431	8	16	82992.924	11	1
5_NA_peak_12805_lociStitched	19	27732087	27738540	5	10	80058.4992	12	1
6_NA_peak_11778_lociStitched	18	18511147	18520158	6	12	71927.6042	13	1
5_NA_peak_387_lociStitched	1	17215801	17240912	5	10	53596.9184	14	1
10_NA_peak_23489_lociStitched	8	43821117	43838650	10	20	49337.862	15	1
3_NA_peak_22739_lociStitched	7	61968984	61982167	3	6	46586.0854	16	1
6_NA_peak_992_lociStitched	1	45265706	45295386	6	12	46431.392	17	1
6_NA_peak_23595_lociStitched	8	56744862	56777663	6	12	45209.6183	18	1
8_NA_peak_10613_lociStitched	17	22245610	22261222	8	16	44469.2208	19	1
20_NA_peak_25937_lociStitched	GL000225.1	6871	133794	20	40	43103.0508	20	1
7_NA_peak_26489_lociStitched	X	58567518	58579323	7	14	42407.1015	21	1
3_NA_peak_12574_lociStitched	19	13947387	13958376	3	6	42248.3094	22	1
9_NA_peak_17073_lociStitched	22	46432205	46466800	9	18	40815.181	23	1
10_NA_peak_14208_lociStitched	2	70305185	70352190	10	20	39888.443	24	1
8_NA_peak_3119_lociStitched	10	17242189	17272363	8	16	39796.4886	25	1
3_NA_peak_3324_lociStitched	10	42597025	42599766	3	6	38637.6842	26	1
6_NA_peak_6116_lociStitched	12	54779661	54822980	6	12	37275.9995	27	1
4_NA_peak_26521_lociStitched	X	64808830	64829557	4	8	36618.3909	28	1
9_NA_peak_12197_lociStitched	19	1848605	1905582	9	18	35394.1124	29	1
3_NA_peak_23779_lociStitched	8	68864532	68881378	3	6	34483.762	30	1
8_NA_peak_447_lociStitched	1	22345261	22379427	8	16	33735.5084	31	1
10_NA_peak_1702_lociStitched	1	145253370	145283601	10	20	33556.41	32	1
4_NA_peak_125_lociStitched	1	3500081	3527399	4	8	33434.5002	33	1
9_NA_peak_4760_lociStitched	11	65239397	65266924	9	18	33315.9281	34	1
8_NA_peak_26000_lociStitched	X	1654846	1690998	8	16	32648.8712	35	1
3_NA_peak_24519_lociStitched	8	130587878	130605780	3	6	32646.0872	36	1
3_NA_peak_25910_lociStitched	GL000220.1	148350	161495	3	6	31871.367	37	1
11_NA_peak_10448_lociStitched	17	8042587	8093403	11	22	30677.6192	38	1
9_NA_peak_1797_lociStitched	1	149804401	149833164	9	18	30045.8298	39	1
7_NA_peak_24722_lociStitched	8	144623453	144656532	7	14	29241.836	40	1
7_NA_peak_12722_lociStitched	19	18391455	18415802	7	14	28432.4266	41	1
11_NA_peak_21219_lociStitched	6	27775498	27806651	11	22	28430.2278	42	1
7_NA_peak_21120_lociStitched	6	25025623	25062908	7	14	27866.809	43	1
5_NA_peak_3338_lociStitched	10	43892561	43916178	5	10	27745.2516	44	1
8_NA_peak_15383_lociStitched	2	232507924	232552327	8	16	27605.3451	45	1
6_NA_peak_26188_lociStitched	X	30595352	30616664	6	12	27324.1152	46	1
7_NA_peak_826_lociStitched	1	38455458	38478605	7	14	27318.0894	47	1
5_NA_peak_777_lociStitched	1	36614991	36627729	5	10	26795.6568	48	1
10_NA_peak_13137_lociStitched	19	45943049	45982063	10	20	26662.1676	49	1
8_NA_peak_790_lociStitched	1	36840073	36866963	8	16	26443.626	50	1
9_NA_peak_12168_lociStitched	19	1241937	1276185	9	18	26192.8704	51	1
5_NA_peak_26526_lociStitched	X	64875757	64898522	5	10	26013.5655	52	1
5_NA_peak_17573_lociStitched	3	46994489	47038481	5	10	25832.1024	53	1
4_NA_peak_4841_lociStitched	11	67034336	67056265	4	8	25354.3098	54	1
5_NA_peak_17292_lociStitched	3	15837289	15853569	5	10	25015.848	55	1
6_NA_peak_9724_lociStitched	16	31119866	31152994	6	12	24965.2608	56	1
10_NA_peak_1913_lociStitched	1	153917351	153963413	10	20	24896.511	57	1
7_NA_peak_21342_lociStitched	6	31763626	31802525	7	14	24794.2226	58	1
6_NA_peak_11169_lociStitched	17	56408445	56429998	6	12	24749.3099	59	1
4_NA_peak_24141_lociStitched	8	103407371	103424661	4	8	24493.014	60	1
4_NA_peak_12980_lociStitched	19	39881632	39900687	4	8	24199.85	61	1
6_NA_peak_20688_lociStitched	5	172192093	172216067	6	12	24081.883	62	1
7_NA_peak_13410_lociStitched	19	54683403	54712525	7	14	24028.5622	63	1
2_NA_peak_26274_lociStitched	X	41192706	41194521	2	4	23828.9535	64	1
8_NA_peak_11417_lociStitched	17	73828609	73869321	8	16	23828.7336	65	1
11_NA_peak_4854_lociStitched	11	67158959	67204971	11	22	23502.9296	66	1
4_NA_peak_24250_lociStitched	8	108498156	108508444	4	8	23114.0496	67	1
4_NA_peak_839_lociStitched	1	39663627	39682003	4	8	23107.82	68	1
6_NA_peak_21357_lociStitched	6	32143618	32163988	6	12	22963.101	69	1
7_NA_peak_19255_lociStitched	4	82392816	82426209	7	14	22940.991	70	1
