TF_refseq	TF_name	chr	start	stop	SuperID	Super_Load
NM_004176	SREBF1	chr17	17727503	17753266	4_NA_peak_10552_lociStitched	19324.302
NM_001042682	RERE	chr1	8483655	8509288	4_NA_peak_214_lociStitched	16159.8981
NM_003422	MZF1	chr19	59084582	59086987	3_NA_peak_13569_lociStitched	9711.178
NM_007156	ZXDA	chrX	58567518	58579323	7_NA_peak_26489_lociStitched	42386.1015
NM_021724	NR1D1	chr17	38255073	38278499	5_NA_peak_10855_lociStitched	12331.336
NM_002229	JUNB	chr19	12886203	12917533	6_NA_peak_12540_lociStitched	18941.507
NM_020310	MNT	chr17	2296931	2305237	7_NA_peak_10289_lociStitched	9802.085
NM_005655	KLF10	chr8	103666889	103675196	2_NA_peak_24152_lociStitched	10919.3123
NM_002158	FOXN2	chr2	48571505	48584736	3_NA_peak_13991_lociStitched	9726.6682
NM_003709	KLF7	chr2	208030119	208041607	4_NA_peak_15217_lociStitched	9720.5712
NM_005583	LYL1	chr19	13208513	13229387	5_NA_peak_12557_lociStitched	12622.4226
NM_130898	CREB3L4	chr1	153917351	153963413	10_NA_peak_1913_lociStitched	24839.511
NM_001142305	ZNF771	chr16	30406344	30441249	5_NA_peak_9675_lociStitched	10169.424
NM_015898	ZBTB7A	chr19	4059050	4090282	10_NA_peak_12283_lociStitched	17352.0576
NM_207115	ZNF580	chr19	56135849	56166607	6_NA_peak_13468_lociStitched	19109.4468
NM_005920	MEF2D	chr1	156460245	156475474	5_NA_peak_2008_lociStitched	16727.4114
NM_005252	FOS	chr14	75714172	75726231	3_NA_peak_7999_lociStitched	16911.3375
NM_006526	ZNF217	chr20	52225461	52240466	5_NA_peak_16105_lociStitched	12001.08
NM_006526	ZNF217	chr20	52198143	52210045	2_NA_peak_16100_lociStitched	11673.9942
NM_006526	ZNF217	chr20	52258868	52276797	4_NA_peak_16107_lociStitched	10406.3349
NM_012102	RERE	chr1	8763153	8773544	4_NA_peak_229_lociStitched	10427.2158
NM_006015	ARID1A	chr1	26946653	26966176	4_NA_peak_556_lociStitched	13338.4867
NM_003107	SOX4	chr6	21588987	21610529	5_NA_peak_21091_lociStitched	12232.047
NM_004364	CEBPA	chr19	33778296	33794415	4_NA_peak_12844_lociStitched	9447.9186
NM_016531	KLF3	chr4	38656654	38669263	4_NA_peak_18988_lociStitched	9608.5017
NM_006732	FOSB	chr19	45943049	45982063	10_NA_peak_13137_lociStitched	26613.1676
NM_002918	RFX1	chr19	14116922	14117881	2_NA_peak_12580_lociStitched	9749.1748
NM_005693	NR1H3	chr11	47270553	47291325	4_NA_peak_4506_lociStitched	11591.426
NM_021975	RELA	chr11	65408074	65430931	4_NA_peak_4777_lociStitched	10517.6466
