chr2	92269501	92325134	ACTR3BP2
chr1	121478934	121485208	EMBP1
chr10	42384507	42409255	LOC441666
chr10	42528058	42546082	LOC441666
chr16	46386925	46435398	ANKRD26P1
chr11	51570115	51591172	OR4C46
chrX	61683325	61731203	SPIN4
chr8	46839177	46855431	NCRNA00293
chr19	27732087	27738540	LOC148189
chr18	18511147	18520158	ROCK1
chr1	17215801	17240912	CROCC
chr8	43821117	43838650	POTEA
chr7	61968984	61982167	LOC643955
chr1	45265706	45295386	BTBD19
chr8	56744862	56777663	LYN
chr17	22245610	22261222	MTRNR2L1
chrX	58567518	58579323	ZXDA
chr19	13947387	13958376	MIR23A
chr22	46432205	46466800	LOC150381
chr2	70305185	70352190	PCBP1
chr10	17242189	17272363	VIM
chr10	42597025	42599766	LOC441666
chr12	54779661	54822980	ITGA5
chrX	64808830	64829557	FKSG43
chr19	1848605	1905582	FAM108A1
chr8	68864532	68881378	PREX2
chr1	22345261	22379427	HSPC157
chr1	145253370	145283601	NBPF10
chr1	3500081	3527399	MEGF6
chr11	65239397	65266924	MALAT1
chrX	1654846	1690998	P2RY8
chr8	130587878	130605780	GSDMC
chr17	8042587	8093403	VAMP2
chr1	149804401	149833164	HIST2H2BC
chr8	144623453	144656532	GSDMD
chr19	18391455	18415802	MIR3188
chr6	27775498	27806651	HIST1H4J
chr6	25025623	25062908	CMAH
chr10	43892561	43916178	HNRNPF
chr2	232507924	232552327	PTMA
chrX	30595352	30616664	CXORF21
chr1	38455458	38478605	FHL3
chr1	36614991	36627729	MAP7D1
chr19	45943049	45982063	FOSB
chr1	36840073	36866963	STK40
chr19	1241937	1276185	CIRBP
chrX	64875757	64898522	MSN
chr3	46994489	47038481	CCDC12
chr11	67034336	67056265	ADRBK1
chr3	15837289	15853569	ANKRD28
chr16	31119866	31152994	MYST1
chr1	153917351	153963413	CREB3L4
chr6	31763626	31802525	HSPA1A
chr17	56408445	56429998	SUPT4H1
chr8	103407371	103424661	UBR5
chr19	39881632	39900687	ZFP36
chr5	172192093	172216067	DUSP1
chr19	54683403	54712525	TSEN34
chrX	41192706	41194521	DDX3X
chr17	73828609	73869321	WBP2
chr11	67158959	67204971	CARNS1
chr8	108498156	108508444	ANGPT1
chr1	39663627	39682003	MACF1
chr6	32143618	32163988	AGER
chr4	82392816	82426209	RASGEF1B
chr1	1590596	1610261	SLC35E2B
chr8	66742428	66754612	PDE7A
chr8	130655465	130677705	GSDMC
chr1	3797155	3817110	C1ORF174
chr17	41464758	41476509	LOC100130581
chr8	86769043	86817039	REXO1L1
chr8	108318412	108327382	ANGPT1
chr6	26172535	26217276	HIST1H3D
chr1	161123935	161156399	PPOX
chr17	7455991	7487277	EIF4A1
chr19	40916314	40950882	SERTAD1
chr1	28559322	28586873	ATPIF1
chr11	65186959	65197617	NEAT1
chr8	145499445	145527211	BOP1
chr8	124085020	124108833	WDR67
chr8	142160084	142174640	DENND3
chr8	90987157	90996756	NBN
chr8	67967409	67976845	COPS5
chr17	7141457	7164760	CTDNEP1
chr10	99160811	99186205	RRP12
chr1	32403600	32422206	PTP4A2
chr1	154928102	154955956	SHC1
chr3	50359055	50396777	RASSF1
chr12	7036986	7062521	C12ORF57
chr1	2158947	2187490	SKI
chr9	135978479	136009651	RALGDS
chr14	35008728	35025714	EAPP
chr8	144679504	144699411	PYCRL
chr1	44872811	44883767	RNF220
chr1	6409120	6419567	ACOT7
chr17	17727503	17753266	SREBF1
chr19	56135849	56166607	ZNF580
chr12	57070908	57094308	PTGES3
chr19	12886203	12917533	JUNB
chr12	123356199	123380269	VPS37B
chr14	105940774	105957757	CRIP1
chr12	122227581	122240985	RHOF
chr6	31695103	31707144	DDAH2
chr12	123917782	123942930	RILPL2
chr8	134086809	134105635	SLA
chr20	43588724	43621574	STK4
chr1	156698359	156722056	MRPL24
chr19	13044398	13094244	GADD45GIP1
chr2	64863449	64881643	SERTAD2
chr17	76732296	76755906	CYTH1
chr19	4059050	4090282	ZBTB7A
chr1	2121313	2143853	C1ORF86
chr12	48196802	48213270	HDAC7
chr2	24128107	24150327	ATAD2B
chr11	118783541	118810964	BCL9L
chr6	42738523	42751015	TBCC
chr14	75714172	75726231	FOS
chr1	28190234	28212007	C1ORF38
chr19	59050043	59070728	TRIM28
chr1	156460245	156475474	MEF2D
chr12	8828058	8862146	RIMKLB
chr1	45187723	45205767	KIF2C
chrX	23785337	23801508	SAT1
chr8	56792110	56798508	LYN
chr8	66824390	66843073	PDE7A
chr19	14607142	14640508	DNAJB1
chr8	103801085	103819062	AZIN1
chr8	144100101	144108180	LY6E
chr1	40839597	40853384	SMAP2
chr1	8483655	8509288	RERE
chr8	101163020	101180301	SPAG1
chr8	42123185	42137830	IKBKB
chr8	134531291	134539365	ST3GAL1
chr19	14481231	14495071	CD97
chr11	62358855	62389436	MTA2
chr1	144982903	145009415	PDE4DIP
chr15	32865241	32887722	ARHGAP11A
chr14	69260425	69283334	C14ORF181
chr1	147994009	148025632	NBPF14
chr15	90931674	90945439	IQGAP1
chrX	148584857	148607482	IDS
chr8	108344963	108355657	ANGPT1
chr10	11207712	11221665	CELF2
chr1	38387481	38397305	INPP5B
chr1	2479970	2487935	LOC115110
chr6	2719421	2740935	MYLK4
chr12	731479	752357	NINJ2
chr21	45970030	45986800	KRTAP10-3
chr1	26604965	26617659	SH3BGRL3
chr6	2841849	2884344	MGC39372
chr19	41803893	41816188	CCDC97
chr3	49370989	49382958	USP4
chr11	71810816	71830724	C11ORF51
chr6	44205633	44233191	HSP90AB1
chr1	234735752	234747039	IRF2BP2
chr19	50370747	50381046	AKT1S1
chr19	2041874	2061861	MKNK2
chr8	146012537	146024057	RPL8
chr1	15842466	15853469	CASP9
chr2	233924723	233948124	INPP5D
chr17	74711885	74733889	JMJD6
chr6	34192205	34217200	HMGA1
chr9	35096444	35114702	STOML2
chrX	189248	200281	PLCXD1
chr17	7108443	7123592	DLG4
chr15	45110353	45130569	TRIM69
chr8	134580491	134588291	ST3GAL1
chr8	95908810	95917899	CCNE2
chr1	28763856	28782280	PHACTR4
chr20	61545990	61569578	DIDO1
chr11	795995	819926	RPLP2
chr2	219181241	219197287	PNKD
chr20	62478403	62496852	C20ORF135
chr3	196358843	196367628	LRRC33
chr10	104941557	104962409	NT5C2
chr19	55759574	55771006	PPP6R1
chrX	49020445	49033588	PLP2
chr3	196227821	196239610	RNF168
chr12	111020848	111029529	PPTC7
chr6	27094632	27125229	HIST1H4I
chrX	45618249	45626929	MIR222
chr1	26946653	26966176	ARID1A
chr11	47415223	47428932	SLC39A13
chr11	62413919	62446371	METTL12
chr1	6663323	6685418	PHF13
chr14	20923102	20946420	PNP
chr1	246729909	246741830	CNST
chr8	96142714	96157842	PLEKHF2
chr6	31154113	31184290	HCG27
chr1	2509683	2517663	C1ORF93
chr17	41150659	41176858	IFI35
chr17	41381809	41400799	TMEM106A
chrX	12965349	12975665	LOC349408
chr11	65661171	65696141	C11ORF68
chr3	127469061	127494759	MGLL
chr3	52312493	52333172	GLYCTK
chr8	104450829	104458310	SLC25A32
chr9	132221882	132251115	C9ORF50
chr3	10269619	10290308	TATDN2
chr15	72754567	72766909	ARIH1
chr17	33887472	33914647	SNORD7
chr15	93351866	93374324	ASB9P1
chr1	3087555	3098838	MIR4251
chr9	36142933	36155011	GLIPR2
chr17	57906320	57915930	MIR21
chr19	13208513	13229387	LYL1
chr6	30583207	30594784	MRPS18B
chr1	156066825	156096509	LMNA
chr9	35635822	35658147	SIT1
chr9	91925493	91933563	MIR3153
chr2	64938109	64959191	SERTAD2
chr8	145016653	145026742	MIR661
chr11	62599426	62609459	WDR74
chr17	47753459	47765774	SPOP
chr17	25660232	25680666	WSB1
chr19	16244763	16260362	HSH2D
chr11	44580967	44600879	CD82
chr17	38255073	38278499	NR1D1
chr8	141646114	141656830	EIF2C2
chr19	48752343	48774559	CARD8
chr1	40618460	40627278	RLF
chr22	39457038	39473554	APOBEC3G
chr6	21588987	21610529	SOX4
chr2	201981125	201993769	CFLAR
chr1	211752309	211786664	SLC30A1
chr9	127615773	127632114	RPL35
chr17	79818248	79829533	ARHGDIA
chr8	145734231	145754314	LRRC14
chr8	141467622	141474724	TRAPPC9
chr11	3806166	3829617	PGAP2
chr11	118955703	118974022	H2AFX
chr16	2563804	2588210	CEMP1
chr2	198299565	198318440	COQ10B
chr1	204476524	204485711	MDM4
chr6	6713081	6724721	LY86-AS1
chr20	52225461	52240466	ZNF217
chr19	12833164	12848206	C19ORF43
chr19	54370630	54382976	MYADM
chrX	53449342	53461569	RIBC1
chr1	16162071	16176217	SPEN
chr16	30064850	30087608	ALDOA
chr17	57864976	57882665	MIR21
chr3	42623299	42652992	NKTR
chr10	1001193	977076	GTPBP4
chr8	41998117	42010879	AP3M2
chr20	52198143	52210045	ZNF217
chr12	6561406	6580212	VAMP1
chr12	56497774	56512456	RPL41
chr8	82042877	82060621	PAG1
chr8	133772754	133787838	PHF20L1
chr11	122932713	122941343	HSPA8
chr11	47270553	47291325	NR1H3
chr8	66858052	66864772	DNAJC5B
chr4	40305104	40318659	CHRNA9
chr2	65068426	65092389	LOC400958
chr18	47002742	47018611	C18ORF32
chr8	88928614	88930654	DCAF4L2
chr12	12869977	12877262	CDKN1B
