REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	mapped_sorted.bam
26_NA_peak_1724_lociStitched	1	143185237	143266693	26	52	108181.7136
9_NA_peak_12306_lociStitched	19	1848606	1905583	9	18	35240.2745
11_NA_peak_4916_lociStitched	11	67381376	67437500	11	22	25463.4588
11_NA_peak_10522_lociStitched	17	8139270	8190085	11	22	30555.0595
7_NA_peak_12662_lociStitched	19	12933584	12983430	7	14	18074.1596
10_NA_peak_14346_lociStitched	2	70078072	70125054	10	20	39732.6774
10_NA_peak_1945_lociStitched	1	153944903	153990941	10	20	24786.8592
7_NA_peak_21406_lociStitched	6	26172307	26217049	7	14	22075.7028
8_NA_peak_15491_lociStitched	2	231643213	231687617	8	16	27494.9568
5_NA_peak_17760_lociStitched	3	46952999	46996991	5	10	25713.324
6_NA_peak_6168_lociStitched	12	54385869	54429196	6	12	37152.9025
6_NA_peak_21114_lociStitched	6	2841614	2884110	6	12	14937.344
8_NA_peak_11520_lociStitched	17	75832525	75873240	8	16	23740.9165
5_NA_peak_24115_lociStitched	8	85764642	85804810	5	10	19425.2448
10_NA_peak_13267_lociStitched	19	45439791	45478806	10	20	26573.1165
7_NA_peak_21579_lociStitched	6	31795849	31834748	7	14	24724.2044
8_NA_peak_17850_lociStitched	3	50321625	50359346	8	16	20078.8883
7_NA_peak_21360_lociStitched	6	25025395	25062679	7	14	27746.7528
7_NA_peak_26080_lociStitched	GL000225.1	50848	86514	7	14	12786.261
7_NA_peak_26209_lociStitched	X	1536627	1572105	7	14	31295.1438
7_NA_peak_4852_lociStitched	11	65893700	65928670	7	14	13155.714
5_NA_peak_9751_lociStitched	16	30395022	30429927	5	10	10440.0855
10_NA_peak_1839_lociStitched	1	149826729	149861599	10	20	33307.824
9_NA_peak_17247_lociStitched	22	46036319	46070920	9	18	40680.3957
7_NA_peak_13138_lociStitched	19	40410407	40444975	7	14	21445.9872
6_NA_peak_8487_lociStitched	15	32561099	32595478	6	12	17945.838
5_NA_peak_2617_lociStitched	1	211578967	211613321	5	10	12374.3108
8_NA_peak_12277_lociStitched	19	1241938	1276193	8	16	26095.459
8_NA_peak_451_lociStitched	1	22018768	22052934	8	16	33656.9266
6_NA_peak_5676_lociStitched	12	8675462	8709550	6	12	16604.2648
7_NA_peak_11037_lociStitched	17	43266938	43300378	7	14	79858.064
7_NA_peak_19441_lociStitched	4	81471659	81505054	7	14	22762.032
6_NA_peak_12723_lociStitched	19	14496330	14529696	6	12	16402.7256
6_NA_peak_9800_lociStitched	16	31108545	31141673	6	12	24872.5024
7_NA_peak_24949_lociStitched	8	143541289	143574362	7	14	29074.4743
7_NA_peak_16104_lociStitched	20	44960083	44992933	7	14	18409.14
6_NA_peak_23817_lociStitched	8	55832294	55865108	6	12	45096.2802
8_NA_peak_4702_lociStitched	11	62646447	62678914	8	16	13486.7918
7_NA_peak_2130_lociStitched	1	161154146	161186609	7	14	21743.7174
5_NA_peak_16355_lociStitched	20	63948949	63981286	5	10	9254.8494
5_NA_peak_21053_lociStitched	5	181160369	181192016	5	10	7835.7972
8_NA_peak_26050_lociStitched	GL000216.2	142481	173841	8	16	12769.792
6_NA_peak_12648_lociStitched	19	12775389	12806719	6	12	18989.113
7_NA_peak_10493_lociStitched	17	7552678	7583959	7	14	21527.5842
4_NA_peak_18740_lociStitched	3	183234257	183265500	4	8	9825.9235
5_NA_peak_26149_lociStitched	KI270733.1	135098	166322	5	10	31523.7504
